X,Y,Z
71,55,67
71,57,67
71,57,67
72,55,67
72,55,67
72,57,79
72,57,79
74,59,77
74,59,77
74,60,75
74,60,75
67,67,74
67,67,74
67,65,74
67,65,74
69,64,72
69,64,72
69,65,72
69,65,72
71,67,77
71,67,77
71,67,70
71,67,70
71,64,72
71,64,72
71,64,72
71,64,72
72,64,74
72,64,74
72,64,74
72,64,74
72,62,67
72,62,67
71,62,67
71,62,67
71,60,67
71,60,67
69,60,75
69,60,75
69,59,74
69,59,74
68,59,72
68,59,72
68,52,70
68,52,70
69,52,70
69,52,70
72,52,69
72,52,69
76,52,69
76,52,69
76,57,74
76,57,74
81,57,67
81,57,67
80,59,69
80,59,69
81,59,69
81,59,69
76,59,70
76,59,70
72,59,70
72,59,70
72,60,63
72,60,63
69,60,63
69,60,63
68,62,63
68,62,63
69,62,72
69,62,72
72,60,70
72,60,70
76,60,69
76,60,69
81,60,67
81,60,67
80,60,67
80,60,67
83,60,67
83,60,67
83,59,67
83,59,67
76,52,65
76,52,65
76,54,65
76,54,65
69,56,65
69,56,65
69,57,65
69,57,65
71,56,65
71,56,65
71,57,65
71,57,65
71,60,77
71,60,77
71,64,77
71,64,77
72,64,77
72,64,77
72,69,77
72,69,77
74,68,75
74,68,75
74,69,74
74,69,74
74,64,72
74,64,72
74,60,72
74,60,72
76,60,70
76,60,70
76,57,70
76,57,70
77,56,74
77,56,74
77,57,69
77,57,69
76,60,70
76,60,70
76,64,70
76,64,70
76,69,70
76,69,70
76,68,72
76,68,72
74,69,65
74,69,65
74,57,70
74,72,70
72,71,74
72,71,74
72,69,74
72,69,74
72,72,72
72,72,72
72,67,72
72,67,72
72,72,72
72,72,72
72,66,75
72,71,75
76,69,69
76,69,69
76,68,70
76,68,70
76,71,74
76,71,74
76,66,74
76,66,74
76,71,74
76,71,74
74,71,74
76,71,74
74,71,74
74,71,74
72,71,77
72,71,77
76,71,70
76,71,70
71,71,72
71,71,72
76,71,75
76,71,75
69,71,75
74,71,75
72,64,75
72,64,75
71,64,75
71,64,75
74,64,79
74,64,79
69,64,82
69,64,82
74,64,81
74,64,81
74,62,79
74,64,79
68,62,77
68,62,77
68,60,82
68,60,81
69,64,79
69,64,77
69,59,75
69,59,74
71,64,72
71,64,72
71,64,72
71,64,72
71,57,72
71,57,72
71,57,72
71,57,72
72,69,72
72,69,72
72,69,70
72,69,70
74,68,70
74,68,70
74,68,69
74,68,69
72,69,69
72,69,69
72,69,69
72,69,69
72,69,69
72,69,69
72,69,69
72,69,69
72,69,69
72,69,69
72,62,69
72,76,69
71,74,69
71,74,69
71,72,69
71,72,69
81,76,69
81,76,69
81,71,69
81,71,69
80,76,69
80,76,69
80,76,69
80,76,69
80,76,69
80,76,69
80,76,69
80,76,69
80,76,69
80,76,69
80,76,69
80,76,69
81,73,70
