X,Y,Z
66,59,47
66,59,47
66,66,47
66,66,47
66,66,47
66,66,47
66,59,47
66,59,47
66,67,47
66,67,47
74,67,47
74,67,47
71,67,52
71,67,52
71,67,52
71,67,52
72,67,52
72,67,52
71,67,52
71,67,52
79,67,52
79,67,52
79,67,52
79,67,52
71,67,52
71,67,52
71,67,52
71,67,52
71,67,52
71,67,52
71,67,52
71,67,52
70,66,52
70,66,52
70,66,52
70,66,52
70,66,52
70,66,52
70,66,52
70,66,52
70,66,52
70,66,52
70,66,52
70,66,52
70,70,52
78,70,52
71,70,52
74,70,52
78,70,50
83,70,50
78,70,50
74,70,50
78,70,50
74,70,50
71,70,50
74,70,50
71,70,50
66,70,50
71,70,50
66,70,50
62,70,50
66,70,50
62,71,59
62,71,59
62,71,55
62,71,59
62,71,62
62,71,67
62,71,62
62,71,59
62,71,62
62,71,59
62,71,55
62,71,59
62,71,55
62,71,50
74,71,55
74,71,50
74,71,47
74,71,50
74,71,47
74,71,47
74,71,47
74,71,47
73,71,47
73,71,47
73,71,41
73,71,41
80,71,41
80,71,41
73,71,41
73,71,41
74,71,41
74,71,41
74,71,41
74,71,41
73,71,41
73,71,41
73,71,42
73,71,42
76,71,42
76,71,42
73,71,42
73,71,42
73,70,42
73,70,42
82,70,52
82,70,52
73,70,52
73,70,52
74,71,54
74,71,54
76,73,55
76,73,55
74,71,54
74,71,54
73,70,52
73,70,52
78,70,52
78,70,52
79,70,50
79,70,50
76,70,52
76,70,52
76,70,52
76,70,52
76,70,54
76,70,54
74,71,52
74,71,52
74,71,52
74,71,52
73,71,54
73,71,54
71,70,42
71,70,42
71,70,42
71,70,42
71,70,42
71,70,42
71,71,47
