X,Y,Z
0,70,58
0,70,58
0,70,58
0,70,58
0,70,58
0,70,58
0,70,58
0,70,58
0,70,62
0,70,62
0,70,62
0,70,62
0,69,60
0,69,60
0,69,60
0,69,60
0,67,58
0,67,58
0,67,58
0,67,58
0,65,57
0,65,57
0,65,57
0,65,57
0,67,55
0,67,55
0,62,55
0,62,55
0,63,53
0,63,53
0,63,53
0,63,53
0,65,51
0,65,51
0,58,51
0,58,51
77,53,51
77,53,51
77,58,51
77,58,51
77,62,50
77,62,50
77,62,50
77,62,50
75,60,50
75,60,50
74,60,50
74,60,50
72,60,53
72,60,53
72,60,53
72,60,53
70,63,53
70,63,53
70,62,53
70,62,53
74,64,55
74,64,55
69,64,55
69,64,55
70,64,55
70,64,55
70,64,55
70,62,55
72,64,60
72,64,60
65,64,60
65,64,60
77,64,60
77,64,60
74,64,60
74,64,60
70,65,60
70,65,60
70,65,62
70,65,62
75,67,58
75,67,58
75,67,58
75,67,58
75,70,55
75,70,55
79,70,55
79,70,55
75,63,60
75,63,60
72,63,60
72,63,60
69,67,60
69,67,60
69,67,63
69,67,63
72,69,60
72,69,60
72,69,57
72,69,57
77,69,53
77,69,53
77,72,53
77,72,53
77,65,53
77,65,53
77,70,53
77,70,53
74,74,53
74,74,53
74,74,58
74,74,58
74,67,58
74,67,58
74,67,57
74,67,57
76,70,55
76,70,55
76,70,55
76,70,55
77,69,53
77,69,53
77,62,53
77,62,53
77,63,55
77,63,55
77,65,50
77,65,50
70,67,51
70,67,51
70,63,51
70,63,51
70,65,53
70,65,53
70,62,53
70,62,53
69,65,46
69,65,46
69,58,46
69,58,46
69,60,51
69,60,51
69,62,46
69,62,46
67,63,48
67,63,48
67,60,48
67,60,48
67,62,50
67,62,50
67,58,50
67,58,50
65,62,43
65,62,43
65,55,43
65,55,43
65,57,48
65,57,48
65,58,43
65,58,43
63,60,45
63,60,45
63,56,45
63,56,45
63,58,46
63,58,46
62,58,46
62,58,46
67,58,39
67,58,39
63,58,39
63,58,39
60,55,39
60,55,39
60,55,51
60,55,51
69,53,60
69,53,60
69,53,57
69,53,57
69,53,53
69,53,53
72,53,53
72,53,53
65,53,50
65,53,50
70,53,50
70,53,50
74,53,55
74,53,55
74,53,51
74,53,51
72,53,48
72,53,48
72,53,53
72,53,53
72,70,57
72,70,57
72,70,46
72,70,46
75,70,58
75,70,58
75,70,55
75,70,55
75,70,50
75,70,50
75,70,50
75,70,50
74,69,50
74,69,50
74,69,50
74,69,50
72,67,51
72,67,51
72,67,50
72,67,50
74,66,60
74,66,60
74,66,58
74,66,58
74,67,57
74,67,57
74,62,55
74,62,55
74,63,58
74,63,58
74,63,56
74,63,56
74,65,55
74,65,55
74,65,53
74,65,53
79,65,56
79,65,56
79,65,55
79,65,55
79,59,53
79,59,53
79,59,53
79,59,53
79,59,51
79,59,51
77,59,51
77,59,51
75,59,48
75,59,48
75,59,53
75,59,53
74,60,51
74,60,51
74,60,53
74,60,53
77,68,55
77,68,55
71,62,56
71,62,56
72,63,55
72,63,55
72,63,53
72,63,53
74,65,51
74,65,51
74,65,53
74,65,53
67,59,56
67,59,56
67,59,55
67,59,55
71,62,53
71,62,53
71,67,51
71,67,51
71,70,50
71,70,50
71,68,48
71,68,48
