X,Y,Z
79,70,62
79,63,62
75,63,62
75,67,62
74,67,62
74,70,62
74,70,62
74,70,62
72,70,60
72,70,60
72,70,60
72,68,60
72,68,58
72,66,58
74,66,58
74,66,58
70,66,62
70,66,62
69,66,62
69,66,62
72,66,60
72,66,60
70,66,60
70,66,60
74,66,60
74,66,60
72,66,62
72,66,62
75,66,60
75,67,60
74,67,60
74,67,60
81,67,62
81,66,62
81,66,55
81,66,55
81,66,50
81,66,50
81,66,46
81,66,46
81,66,43
81,66,43
81,66,43
81,66,43
81,66,53
81,67,53
70,67,53
70,67,53
67,67,53
67,60,53
63,60,53
63,60,53
60,60,53
60,58,53
60,58,53
60,58,53
70,58,53
70,60,53
70,60,51
70,60,51
70,60,48
70,60,48
70,60,45
70,60,45
70,60,41
70,60,41
70,60,41
70,60,41
70,60,53
70,65,53
69,65,53
69,65,53
65,65,53
65,58,53
62,58,53
62,58,53
58,58,50
58,57,50
58,57,50
58,57,50
68,57,50
68,58,50
68,58,50
68,58,50
68,58,46
68,58,46
68,58,43
68,58,43
68,58,39
68,58,39
68,58,43
68,58,43
67,58,46
67,58,46
67,58,46
67,58,46
70,58,46
70,58,46
69,58,46
69,58,46
72,58,46
72,58,46
66,58,46
66,58,46
66,58,48
66,63,48
69,63,48
69,63,48
67,63,46
67,63,46
67,63,46
67,63,46
70,63,46
70,63,46
64,63,46
64,63,46
64,63,46
64,62,46
67,62,46
67,62,46
67,62,46
67,62,46
66,62,45
66,62,45
69,62,42
69,60,42
69,60,42
69,60,42
69,60,43
69,60,43
72,60,43
72,60,43
70,60,43
70,60,43
69,60,42
69,60,42
72,60,45
72,60,45
72,60,45
72,60,45
72,60,48
72,60,48
75,60,48
75,60,48
74,60,38
74,50,38
72,50,38
72,50,38
70,50,38
70,50,38
69,50,38
69,50,38
67,50,38
67,52,38
72,52,38
72,52,38
70,52,38
70,52,38
69,52,38
69,52,38
67,52,38
67,54,38
66,54,38
66,54,38
64,54,38
64,55,38
62,55,38
62,55,38
66,55,38
66,55,38
69,55,38
69,55,38
72,55,50
72,57,50
67,57,50
67,57,50
67,57,50
67,58,50
70,58,50
70,58,50
69,58,50
69,58,50
72,58,50
